state,tot,male,female,gs,jh,hs,vt,sc,bs,ms,m,s,d,w,nm,moth,ai,asian,pi,bl,wh,roth,hisp,nhisp,ft,pt,alt20,a20,a30,a40,a50,a60,a70
AK,34,8,26,0,0,4,3,7,9,11,20,1,3,1,9,0,0,0,0,0,34,0,0,34,26,8,0,1,6,9,10,7,1
AL,130,41,89,0,1,12,8,20,38,50,82,2,12,4,29,1,0,1,0,7,121,1,2,128,99,31,0,12,24,34,36,16,6
AR,48,10,38,0,0,5,3,12,14,14,34,3,4,1,6,0,0,0,0,2,44,2,0,48,37,11,0,4,12,12,12,7,1
AZ,186,34,152,0,0,13,7,42,61,63,128,2,17,7,31,1,0,0,0,3,180,3,4,182,123,63,0,9,36,55,39,36,8
CA,1086,273,811,0,1,51,32,241,330,431,632,14,142,28,256,13,0,16,1,23,1015,30,48,1037,830,256,1,87,206,269,284,158,61
CO,331,84,247,0,0,15,14,76,103,123,223,3,37,10,58,0,0,3,0,1,324,2,6,324,246,85,0,13,82,92,75,46,14
CT,131,30,101,0,0,8,7,25,35,56,79,4,15,4,26,3,0,0,0,6,122,3,0,131,108,23,1,8,25,35,37,18,6
DC,56,18,38,0,0,0,0,2,13,41,16,0,6,0,34,0,0,2,0,4,49,1,2,54,49,6,0,13,17,7,9,8,1
DE,36,13,23,0,0,5,1,5,8,17,22,1,3,1,8,1,0,0,0,0,36,0,1,35,30,6,0,2,11,11,7,4,0
FL,432,123,307,0,3,32,17,110,111,159,281,2,53,16,76,3,0,1,0,13,412,5,16,415,311,121,2,26,78,112,98,83,28
GA,180,44,136,0,0,15,8,30,55,72,114,4,25,2,32,3,0,1,0,15,162,2,2,178,150,30,0,17,51,52,43,11,4
HI,33,9,24,0,0,3,2,2,11,15,20,1,4,0,8,0,0,4,0,0,24,5,1,32,25,8,0,4,8,10,6,4,0
IA,99,25,74,0,0,6,7,24,27,35,72,0,8,1,18,0,0,0,0,0,98,1,0,99,83,16,0,11,22,25,20,14,6
ID,38,9,29,0,0,2,0,10,12,14,28,1,5,0,4,0,0,0,0,0,38,0,0,38,33,5,0,6,5,11,9,6,1
IL,430,107,322,1,0,34,6,92,141,156,280,6,41,12,89,2,0,1,0,13,410,5,4,425,338,92,1,31,111,122,96,47,16
IN,170,46,124,0,0,21,11,30,54,54,110,2,19,5,33,1,1,2,0,2,164,1,0,170,134,36,0,18,35,54,40,17,6
KS,93,28,65,0,0,5,4,17,35,32,62,0,12,3,16,0,0,0,0,1,92,0,2,91,77,16,0,7,22,28,20,13,2
KY,148,38,110,0,0,6,10,27,53,52,97,2,18,3,28,0,0,0,0,1,146,0,0,147,120,28,0,11,38,39,43,11,3
LA,87,18,69,0,0,9,7,17,26,28,56,0,8,3,19,1,1,0,0,7,79,0,1,86,70,17,0,9,24,30,17,5,1
MA,362,111,250,0,1,9,6,58,119,169,228,4,20,9,100,1,0,3,0,5,350,3,4,357,280,81,1,37,77,97,84,47,16
MD,251,64,186,0,0,12,6,47,62,123,153,9,23,5,58,2,0,4,0,15,227,4,2,248,208,42,1,16,57,73,63,30,6
ME,73,14,59,0,0,5,3,18,20,27,50,2,11,0,10,0,0,0,0,0,71,2,0,73,60,13,1,4,21,20,13,9,2
MI,264,60,202,0,0,19,11,65,82,86,178,0,14,8,63,1,0,0,0,3,256,5,1,263,207,57,1,26,64,60,60,24,20
