date,tot,male,female,gs,jh,hs,vt,sc,bs,ms,m,s,d,w,nm,moth,ai,asian,pi,bl,wh,roth,hisp,nhisp,ft,pt,alt20,a20,a30,a40,a50,a60,a70
1994-01,89,19,70,0,2,9,3,29,17,29,66,0,11,2,9,1,0,1,0,0,87,0,0,88,64,25,0,4,17,33,17,11,6
1995-01,461,89,372,0,2,61,24,131,112,131,315,8,42,10,84,2,0,2,0,6,451,1,7,453,360,101,1,31,113,148,93,56,17
1996-01,850,166,683,0,2,103,56,231,219,238,573,17,82,18,150,9,0,2,0,13,828,4,10,837,666,183,2,60,222,279,161,96,26
1997-01,1835,346,1488,0,4,225,121,529,469,486,1192,38,212,53,322,17,0,6,0,38,1773,14,21,1810,1421,413,5,133,486,590,346,194,77
1998-01,2066,385,1680,0,7,251,139,593,532,543,1350,42,246,61,348,18,0,6,0,51,1990,15,24,2038,1587,478,5,148,532,678,390,220,89
1999-01,2806,560,2244,0,13,327,197,777,733,758,1806,60,351,99,464,25,0,8,0,69,2702,23,33,2769,2129,676,6,195,666,899,571,317,146
2000-01,3107,639,2466,0,14,350,211,841,816,874,1987,65,393,107,524,29,0,8,0,75,2992,28,40,3063,2364,742,6,212,742,975,646,354,163
2001-01,3402,707,2691,0,14,397,231,927,871,959,2182,70,432,120,563,33,0,10,0,81,3277,30,43,3355,2578,823,6,224,788,1042,743,402,186
2002-01,3738,826,2908,0,14,439,254,996,957,1075,2401,72,469,130,628,36,0,11,0,83,3606,33,50,3683,2824,913,6,239,843,1136,835,460,207
2003-01,4079,922,3153,0,14,462,264,1059,1067,1210,2611,76,512,139,699,39,0,13,0,90,3934,37,53,4021,3102,976,6,270,894,1244,940,494,218
2004-01,4422,1016,3401,0,14,483,283,1120,1180,1338,2852,79,544,149,755,40,0,14,0,96,4267,40,57,4360,3368,1053,6,299,958,1355,1022,538,230
2005-01,4894,1133,3754,0,15,510,297,1194,1338,1536,3138,82,590,151,888,41,0,16,0,108,4714,51,65,4824,3758,1135,7,351,1089,1477,1146,571,239
2006-01,5495,1279,4208,0,16,532,319,1313,1517,1794,3537,88,636,160,1026,44,0,21,0,114,5294,61,72,5418,4234,1260,8,413,1210,1649,1315,631,255
2007-01,5897,1362,4527,0,16,547,331,1390,1647,1962,3789,91,665,165,1135,48,0,25,0,130,5669,67,76,5815,4560,1335,8,462,1302,1758,1415,676,262
2008-01,6289,1469,4808,1,16,561,340,1437,1771,2159,4037,98,711,171,1216,52,0,29,0,138,6048,68,78,6205,4875,1410,8,496,1389,1862,1523,723,273
2009-01,6699,1566,5114,1,17,579,353,1493,1914,2338,4316,99,756,185,1282,57,0,31,0,149,6434,77,85,6606,5205,1490,8,531,1455,1970,1648,778,293
2010-01,7043,1648,5376,1,17,593,366,1547,2027,2488,4532,102,783,196,1366,60,0,36,0,155,6760,83,91,6943,5489,1550,8,551,1528,2079,1745,815,301
2011-01,7360,1709,5632,1,17,606,370,1594,2138,2630,4731,108,807,207,1441,61,0,36,0,165,7058,86,96,7249,5759,1597,8,577,1595,2160,1845,851,307
2012-01,7480,1747,5714,1,17,609,373,1607,2180,2689,4802,110,819,207,1475,62,0,39,0,168,7169,88,97,7367,5859,1617,8,589,1616,2208,1870,863,309
2013-01,7716,1826,5871,1,18,610,377,1631,2261,2814,4951,113,839,210,1535,63,1,40,0,171,7393,95,106,7594,6047,1665,9,617,1668,2258,1933,895,318
2014-01,8033,1922,6092,2,18,623,382,1674,2382,2948,5146,115,857,213,1633,64,2,46,1,182,7686,100,116,7901,6299,1730,10,667,1740,2326,2003,945,323
2015-01,8331,2022,6290,2,18,632,389,1722,2485,3079,5348,120,875,218,1701,64,5,48,1,189,7965,107,123,8192,6532,1795,10,687,1804,2402,2078,991,341
2016-01,8627,2128,6480,2,18,639,392,1753,2589,3230,5542,122,893,223,1777,65,6,55,1,201,8238,110,131,8480,6771,1852,10,718,1883,2464,2145,1034,355
2017-01,8910,2218,6673,2,18,643,399,1789,2673,3382,5714,127,921,229,1849,65,9,56,2,210,8500,117,135,8759,6989,1917,11,745,1950,2534,2197,1080,369
2018-01,9220,2322,6879,3,18,655,404,1824,2776,3536,5896,129,952,239,1934,65,10,57,2,221,8791,123,146,9058,7237,1979,12,775,2014,2593,2270,1156,382
2019-01,9393,2383,6991,3,19,659,409,1857,2832,3610,6005,132,972,240,1973,66,11,61,2,225,8950,128,150,9227,7366,2023,13,794,2041,2616,2316,1204,391
2020-01,9687,2483,7185,3,19,664,411,1895,2941,3750,6192,135,999,247,2042,67,11,65,3,234,9223,135,159,9512,7586,2097,7,818,2106,2678,2375,1266,411
