date,tot,male,female,gs,jh,hs,vt,sc,bs,ms,m,s,d,w,nm,moth,ai,asian,pi,bl,wh,roth,hisp,nhisp,ft,pt,alt20,a20,a30,a40,a50,a60,a70
1993-10,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0
1993-11,55,15,40,0,2,4,3,19,9,18,39,0,8,0,7,1,0,1,0,0,53,0,0,54,41,14,0,2,11,18,12,7,4
1993-12,77,19,58,0,2,8,3,28,12,24,55,0,10,2,9,1,0,1,0,0,75,0,0,76,57,20,0,3,16,27,15,10,5
1994-01,89,19,70,0,2,9,3,29,17,29,66,0,11,2,9,1,0,1,0,0,87,0,0,88,64,25,0,4,17,33,17,11,6
1994-02,97,20,77,0,2,11,3,32,20,29,73,0,12,2,9,1,0,1,0,0,95,0,0,96,69,28,0,4,20,35,18,13,6
1994-03,115,28,87,0,2,12,5,36,26,34,81,1,13,3,16,1,0,1,0,0,113,0,0,114,81,34,0,4,23,41,22,17,7
1994-04,135,32,103,0,2,14,9,39,30,41,93,1,16,4,20,1,0,1,0,0,133,0,0,134,96,39,0,5,26,50,25,21,7
1994-05,166,40,126,0,2,17,10,46,40,51,114,2,17,4,27,2,0,1,0,0,164,0,0,165,117,49,0,6,34,59,32,26,8
1994-06,211,50,161,0,2,27,10,60,49,63,151,3,19,6,30,2,0,1,0,0,209,0,0,210,155,56,0,6,41,70,50,32,10
1994-07,274,60,214,0,2,37,10,74,65,86,189,4,25,7,47,2,0,1,0,0,272,0,0,273,204,70,0,12,58,85,60,43,14
1994-08,343,66,277,0,2,46,12,96,83,104,225,7,35,8,66,2,0,1,0,4,337,0,1,341,261,82,0,20,83,104,69,50,15
1994-09,373,69,304,0,2,47,17,105,93,109,248,7,38,8,70,2,0,1,0,6,365,0,3,369,286,87,0,26,89,116,74,51,15
1994-10,392,72,320,0,2,50,18,109,100,113,260,8,38,10,74,2,0,2,0,6,383,0,3,388,301,91,1,28,94,122,77,51,17
1994-11,405,76,329,0,2,52,21,111,102,117,269,8,39,10,77,2,0,2,0,6,396,0,5,399,312,93,1,29,99,126,80,51,17
1994-12,427,81,346,0,2,55,22,122,106,120,287,8,41,10,79,2,0,2,0,6,418,0,6,420,330,97,1,29,103,136,86,53,17
1995-01,461,89,372,0,2,61,24,131,112,131,315,8,42,10,84,2,0,2,0,6,451,1,7,453,360,101,1,31,113,148,93,56,17
1995-02,488,93,395,0,2,63,26,140,121,136,332,9,44,11,90,2,0,2,0,7,477,1,7,480,382,106,1,33,124,156,97,57,18
1995-03,537,108,429,0,2,73,33,146,130,153,360,10,50,12,102,3,0,2,0,8,525,1,8,528,419,118,1,35,130,174,111,65,19
1995-04,561,112,449,0,2,78,36,156,131,158,374,10,53,12,109,3,0,2,0,9,548,1,8,552,438,123,1,37,136,185,113,67,20
1995-05,569,114,455,0,2,78,37,160,132,160,379,10,53,12,112,3,0,2,0,9,556,1,8,560,446,123,1,37,137,190,114,68,20
1995-06,588,120,468,0,2,79,38,164,137,168,393,10,53,13,116,3,0,2,0,10,574,1,8,579,457,131,1,38,140,198,115,72,22
1995-07,650,141,508,0,2,87,41,180,154,185,427,11,60,15,129,7,0,2,0,11,633,2,9,639,499,150,1,42,155,215,128,81,25
1995-08,687,147,539,0,2,88,43,190,170,193,451,12,66,15,135,7,0,2,0,11,669,2,9,675,530,156,1,45,162,225,139,86,26
1995-09,710,149,560,0,2,91,45,197,176,198,468,12,69,15,137,8,0,2,0,11,692,2,9,698,545,164,1,46,170,235,141,88,26
1995-10,755,156,598,0,2,93,49,210,193,207,500,13,73,17,142,9,0,2,0,11,737,2,10,742,583,171,2,50,190,248,147,89,26
1995-11,799,162,636,0,2,97,52,217,204,226,535,15,76,18,145,9,0,2,0,12,779,3,10,786,623,175,2,54,204,261,153,95,26
1995-12,822,165,656,0,2,101,52,220,213,233,554,15,78,18,147,9,0,2,0,13,801,3,10,809,642,179,2,59,211,268,157,95,26
1996-01,850,166,683,0,2,103,56,231,219,238,573,17,82,18,150,9,0,2,0,13,828,4,10,837,666,183,2,60,222,279,161,96,26
1996-02,869,167,701,0,2,105,56,238,225,242,584,18,85,18,154,9,0,2,0,14,846,4,10,856,683,185,2,62,230,285,164,96,26
1996-03,895,169,725,0,2,107,57,249,229,250,598,20,90,19,158,9,0,2,0,15,871,4,10,882,705,189,2,64,239,293,171,96,26
1996-04,917,173,743,0,2,113,57,253,237,254,615,20,92,20,160,9,0,2,0,16,892,4,10,904,718,198,2,65,248,298,172,99,29
1996-05,932,177,754,0,2,113,59,258,240,259,623,20,94,21,164,9,0,2,0,17,905,5,11,918,732,199,3,65,252,304,175,100,29
1996-06,968,185,782,0,2,116,61,276,248,264,642,21,97,22,176,9,0,2,0,17,941,5,11,954,757,210,3,68,268,312,182,101,30
1996-07,1042,192,849,0,2,129,69,299,264,278,682,22,109,25,194,9,0,2,0,20,1012,5,12,1027,813,228,3,80,288,335,192,109,31
1996-08,1065,196,868,0,2,133,71,307,269,282,696,22,116,25,196,9,0,2,0,20,1035,5,12,1050,833,231,3,80,296,345,194,112,31
1996-09,1072,197,874,0,2,134,72,308,271,284,700,23,116,25,198,9,0,2,0,20,1042,5,12,1057,840,231,3,81,301,346,194,112,31
1996-10,1513,276,1236,0,3,195,101,433,378,402,989,29,170,36,274,14,0,4,0,26,1468,11,19,1490,1188,324,5,112,411,484,288,158,51
1996-11,1651,304,1346,0,4,201,111,476,414,444,1076,31,184,43,299,17,0,5,0,31,1599,12,19,1628,1287,363,5,123,442,529,313,172,63
1996-12,1760,331,1428,0,4,216,118,507,447,467,1145,33,197,51,316,17,0,5,0,35,1702,14,21,1735,1359,400,5,130,469,561,334,185,72
1997-01,1835,346,1488,0,4,225,121,529,469,486,1192,38,212,53,322,17,0,6,0,38,1773,14,21,1810,1421,413,5,133,486,590,346,194,77
1997-02,1878,351,1526,0,4,227,127,538,483,498,1216,40,222,53,328,18,0,6,0,40,1814,14,22,1852,1456,421,5,135,493,607,357,197,80
1997-03,1905,353,1551,0,4,228,128,546,492,506,1233,40,229,53,331,18,0,6,0,41,1840,14,23,1878,1473,431,5,137,495,619,362,203,80
1997-04,1926,360,1565,0,4,233,128,549,498,513,1245,40,232,55,335,18,0,6,0,41,1861,14,23,1899,1491,434,5,138,500,628,363,206,82
1997-05,1962,369,1592,0,6,240,132,559,505,519,1277,40,234,55,337,18,0,6,0,43,1894,15,23,1935,1514,447,5,140,508,638,372,211,84
